text,health rating,,,,,,,,,,,,,,,
"faust: i can't believe this. i truly can't believe this figaro: it seems faust's students grew so much in each other they're unable to fight they're sentimental too after all faust: could you please shut up. *coughs* HEATH, SHINO.",0,,,,,,,,,,,,,,,
"Some parents need sending back to school to learn some manners. Heaven help their kids. In @asda today a family sprawled blocking an aisle despite polite request for space to get by, got rude, then sent their boy to find this old lady & cough in her face jeering ""I've got covid!""",2,,,,,,,,,,,,,,,
"And before you say the mask will keep it from giving it, when you cough or breath that air still comes out of the mask & into the air. So NO it shouldn’t be mandatory, but you can stay in your house until there is a vaccine.. I don’t you will stay in house for a 6months to year",0,,,,,,,,,,,,,,,
"Mike Pence doesn’t have time to beclown his visage with one of these cough diapers. He is a devout Christian and unlike the gentlemen around him, who are adherents to the extremist and newly-fashionable “COVIslam”. Pence will judge the quality of the Mayo, and advise on recipes. https://twitter.com/nbcnews/status/1255219612473589761 …",0,,,,,,,,,,,,,,,
I got them by chance. I'm still waiting on my card cuz of corona which is why I have the cough to begin with.,3,,,,,,,,,,,,,,,
Is it about the same type of test as a nasal whooping cough/pertussis test? I had a nasal and throat swab for that multiple times nasty,1,,,,,,,,,,,,,,,
"My trusted night nurse Zoë wondering why I'm warming her and not the usual way around. Fever, cough, headache. This had better give me antibodies to be worth it... pic.twitter.com/MndTcprliP",4,,,,,,,,,,,,,,,
cough pic.twitter.com/C6HhLNWg1m,0,,,,,,,,,,,,,,,
Well anyone who has flown and immediately gotten a cold or flu can tell you those personal fans to blow the germs away is absolute BS! One person with a cough and many dozen catch it.,1,,,,,,,,,,,,,,,
@RepTedLieu you need to get you info straight & stop lying! Look at your district with out breaks if whooping cough & measles! Look at yourself,1,,,,,,,,,,,,,,,
"Sweatalot... *cough* I mean Lancelot, and Free, excuse me... Ferry got nerfed. Narmaya got buffed, I'm happy",0,,,,,,,,,,,,,,,
"It was Marie at the time i just thought i was run down after losing Mum and had taken a bad bout of flu,Doctor thought it was Viral and told me at the time to rest ,plenty of fluids etc but can honestly say i have never had a cough like that my cheeks were red raw with coughing!",4,,,,,,,,,,,,,,,
I just find it incredibly sad when certain company’s *cough* @billboard can’t be bothered to address a error in numbers that robbed 5SOS of a 4th number 1. #FixThe10k #TakeActionBillboard,0,,,,,,,,,,,,,,,
Question: Do anyone know how long COVID-19 will survive on meat??? For example I have The Coronavirus I cough in the factory it land on the conveyer belt!!! The meat round in the stop!!! Again how long will COVID-19 survive on meat??? @MSNBC @FoxNews @CNN @maddow @chrislhayes,1,,,,,,,,,,,,,,,
"me too I was sick for 6 weeks, with the on/off fever chills cough etc.",4,,,,,,,,,,,,,,,
"and/ or the banks can cough up the WILLINGNESS to CANCEL ALL CREDIT CARD/LINE OF CREDIT DEBT, and to pay RETAIL CREDIT CARD BALANCES of their customers, this will put citizens in a good position to start buying, as there are interest charges on those balances @JustinTrudeau",0,,,,,,,,,,,,,,,
950.have a bad ［cough］ ☞ ひどい［せき］が出る,,,,,,,,,,,,,,,,
"I’m sooo sore, every step I take I want to drop down. Like even when I cough I’m just like can I lay down now???",4,,,,,,,,,,,,,,,
"and some while back the Vatican said it was okay to ""believe"" it's golden, cough",0,,,,,,,,,,,,,,,
Yes... cough... I've heard of that one. pic.twitter.com/ndTA2oBN5D,0,,,,,,,,,,,,,,,
Grand Rapids doesn’t have one *cough cough* https://twitter.com/foreverlyg/status/1255297874969219073 …,0,,,,,,,,,,,,,,,
"Maybe it’s her fault. She’s a reporter, cough cough, why didn’t she know",0,,,,,,,,,,,,,,,
@juliensolomita soy boys eh ppppa eh pa cough cough mustache wipe pic.twitter.com/TETsWPq3e3,0,,,,,,,,,,,,,,,
I wonder how long flinching after someone coughs will last,1,,,,,,,,,,,,,,,
"I am not sure where is Teddy getting this numbers? Stupid people follow like sheep and believe a guy whose state is having lowest in vaccination on children and Whooping cough and measles are coming back to his state! He is not sure right on his numbers! Answer Ted, are you dumb",0,,,,,,,,,,,,,,,
"2) That could be elevated temperature, shortness of breath, cough, etc. They are to use those codes regardless... They are counting everything as coronavirus; asthma, pneumonia and other lung diseases. Number one; coding a condition that is not true is fraud.",2,,,,,,,,,,,,,,,
Never want a hacking cough,3,,,,,,,,,,,,,,,
"This is ridiculous. Tell us how many people tested to how many positive. And what does positive mean? A cough, a sore throat? You are just scaring people. Are most just getting a mild fever, then its gone? It’s announced like deaths.",1,,,,,,,,,,,,,,,
"Playing a fun game of ""is this my seasonal allergy induced asthmatic cough or did I catch SARS-CoV-2?""",4,,,,,,,,,,,,,,,
cough cough... #TheResistance let's keep this really incredible news to ourselves. We would not want to retweet it until it got back to @LindseyGrahamSC and make him scurry off in a fit to clutch his pearls now would we?https://twitter.com/MoonAngelWings/status/1255278474232766465 …,1,,,,,,,,,,,,,,,
Never want a hacking cough. #phishdinnerandamovie #limbbylimb #coronavirus,1,,,,,,,,,,,,,,,
Cough,3,,,,,,,,,,,,,,,
I Will vie Cough Time is uncertain,3,,,,,,,,,,,,,,,
"""While you were off, bombing mako reactors, I was studying the--"" Well, anyway. *cough*",0,,,,,,,,,,,,,,,
"To help Victoria make informed decisions about restrictions, coronavirus testing has been widened to include anyone who’s showing mild flu-like symptoms, has a sore throat, a runny nose, a cough or a cold. Get tested today and save lives. Find out more at https://bit.ly/2QEgJKm pic.twitter.com/oPDeRJFaQI",1,,,,,,,,,,,,,,,
so content bc of the ex-unit one members returning (although cough kagari cough) and i hope they’d continue s4 with this huge ass cast? we really don’t want more deaths-,0,,,,,,,,,,,,,,,
So what happens when someone coughs on meat and tens of millions more get infected? https://twitter.com/stufnthingz/status/1255301136422178819 …,2,,,,,,,,,,,,,,,
Don’t talk to me about work on my break. ... I will cough on you #nightshift,1,,,,,,,,,,,,,,,
Cough haloute cough https://twitter.com/Threaltrildavid/status/1254845212750422018 …,0,,,,,,,,,,,,,,,
"@tedlieu Listen up! YOUR district w/ all the problems from illegals 2 homeless, whooping cough and other diseases coming back in UR district while you hate on @realDonaldTrump @VP who even @GavinNewsom said he's rec'd everything he needs, will NOT pay 4 y",1,,,,,,,,,,,,,,,
*cough* Mets *cough*,0,,,,,,,,,,,,,,,
"“I foresee positive side effects,” it coughs",0,,,,,,,,,,,,,,,
Phlegm coughs are not something I miss from the next cubicle.,3,,,,,,,,,,,,,,,
NYET,0,,,,,,,,,,,,,,,
"To help Victoria make informed decisions about restrictions, coronavirus testing has been widened to include anyone who’s showing mild flu-like symptoms, has a sore throat, a runny nose, a cough or a cold. Get tested today and save lives. Find out more at https://bit.ly/2QEgJKm pic.twitter.com/9q0jskLBRT",0,,,,,,,,,,,,,,,
Bro I can’t stop coughing and these damn cough drops making it worse,4,,,,,,,,,,,,,,,
I'm gonna cough on your mask,2,,,,,,,,,,,,,,,
"Charlie: ""Luckily I had an Egyptian buddy who cast a spell to hide the thing-"" Writers: ""Ahem!"" Charlie: ""-uh, to hide the macguffin-"" Writer: *cough* ""Loom of fate!"" Charlie: ""-to hide the Kool of Aid!"" Writers: ""...Sure why not."" #LegendsOfTomorrowhttps://twitter.com/JMad17/status/1229964077465841664 …",0,,,,,,,,,,,,,,,
This woman makes me want to cough up a hairball like a stray cat and then roll around in the grass she has such an impact on my BRAIN,1,,,,,,,,,,,,,,,
Wuhan bat cough ain’t gon mean shit when people are killing each other over bread https://twitter.com/tooo5avage/status/1255150999267766273 …,0,,,,,,,,,,,,,,,
Cough cough* 4-12,0,,,,,,,,,,,,,,,
"not to go medical but I remember you saying sharp stomach pain, but we chalked that up to fasting. For the coughing, is it dry or any mucus? is it just a few or is it those coughs that keep going on and on?",4,,,,,,,,,,,,,,,
"So, my lungs are pretty much fucked as a leftover from being sick. Anytime I get cold, walk a bit, or sleep at night I cough like cray, and one doctor I've talked to prescribed slowly increased walking/breathing exercises until my lungs are better. Shits scary, stay safe.",4,,,,,,,,,,,,,,,
Rhode Island School Teacher Resigns After Viral TGP Report About Her Offering to Pay Someone With Coronavirus to Cough on President Trump https://www.thegatewaypundit.com/2020/04/rhode-island-school-teacher-resigns-viral-tgp-report-offering-pay-someone-coronavirus-cough-president-trump/?utm_source=Twitter&utm_campaign=websitesharingbuttons … via @gatewaypundit,0,,,,,,,,,,,,,,,
*coughs* pic.twitter.com/hK7oxwuxP6,0,,,,,,,,,,,,,,,
Phlegm coughs,2,,,,,,,,,,,,,,,
*cough cough @barcenasm3,0,,,,,,,,,,,,,,,
Me too!! I just started having a weird cough & im 7 months pregnant with terrible anxiety,4,,,,,,,,,,,,,,,
cough* almost to 36 million followers *cough,0,,,,,,,,,,,,,,,
Nur Said *cough,0,,,,,,,,,,,,,,,
What would keep them from just faking a cough?,2,,,,,,,,,,,,,,,
hidden leaf || favorite shirt & favorite animepic.twitter.com/yNjdh6NUed,0,,,,,,,,,,,,,,,
Timmy I'm off Corona is about so don't cough,0,,,,,,,,,,,,,,,
The accent/phrasing also works in North Carolina I'm finna eat,0,,,,,,,,,,,,,,,
isn't it funny how people just dont care when other fans are hating cassie *cough*timst*ph fans*cough* but they are always waiting for other fans to say something bad about a character so they can bash them and call everyone misogynistic,0,,,,,,,,,,,,,,,
"You have a lot more problems in California - who is on that ship @GavinNewsom needed so badly? How is your district with Whooping Cough and other diseases coming back in your district and area? Horrible! Don't ask for help either as you criticize the very people, solving the USA",0,,,,,,,,,,,,,,,
"Problem is, if the nasty person who sneezes or coughs out into the cabin is near you, their air might hit your eyes/nose/mouth before it hits the filters.",1,,,,,,,,,,,,,,,
I just cough into my arm and watch them scurry dafuq out of my way.,2,,,,,,,,,,,,,,,
I'm Immunocompromised. 100.6 fever. Mild cough. Lump in throat. Take care of my 75 y/o immunocompromised mother. Can't get tested. Fuck @realDonaldTrump,4,,,,,,,,,,,,,,,
YES coughs childhood friend coughs,0,,,,,,,,,,,,,,,
So Mr. Sphincter has an awfully precocious 8 yr old.....*cough https://twitter.com/KurtSchlichter/status/1255137177698107406 …,0,,,,,,,,,,,,,,,
"I was Marie for nearly 3 weeks,Couldn't stop coughing,sides hurt like hell from coughing tried every cough bottle to no avail,high temp,out of breath a lot and pain at lungs hardly slept those 3 weeks as every time i lay down coughing got worse!Jesus yes AC won't be cleaned",4,,,,,,,,,,,,,,,
i can’t even tell u a single right winger ive met that likes prager u,0,,,,,,,,,,,,,,,
Never want a hacking cough.,2,,,,,,,,,,,,,,,
made my shrimp way too spicy shit made me cough,1,,,,,,,,,,,,,,,
I literally just cough farted next to my boyfriend and he didn’t hear it with his gaming headphones on lmao,1,,,,,,,,,,,,,,,
Rhode Island School Teacher Resigns After Viral TGP Report About Her Offering to Pay Someone With Coronavirus to Cough on President Trump https://www.thegatewaypundit.com/2020/04/rhode-island-school-teacher-resigns-viral-tgp-report-offering-pay-someone-coronavirus-cough-president-trump/?utm_source=Twitter&utm_campaign=websitesharingbuttons … via @gatewaypundit,0,,,,,,,,,,,,,,,
"Not sure, photos play havoc with the depth of field nor do you know if they're family members. But if you're passing someone could they sneeze or cough, then yes you would want to have a mask.",2,,,,,,,,,,,,,,,
@whooo_diss cough cough bish,0,,,,,,,,,,,,,,,
"Fever, tight chest and a cough. I’m not scared....",4,,,,,,,,,,,,,,,
Rhode Island School Teacher Resigns After Viral TGP Report About Her Offering to Pay Someone With Coronavirus to Cough on President Trump https://www.thegatewaypundit.com/2020/04/rhode-island-school-teacher-resigns-viral-tgp-report-offering-pay-someone-coronavirus-cough-president-trump/?utm_source=Twitter&utm_medium=PostTopSharingButtons&utm_campaign=websitesharingbuttons … via @gatewaypundit,0,,,,,,,,,,,,,,,
Yep! That’s the asthma cough. I keep coughing until it sounds like I coughed up a lung. Then I’d start over. That’s w/a regular cold or flu. Definitely don’t want COVID! I’m staying inside...for good...or until there’s a vaccine. I’m not coming out even when there’s a treatment!,3,,,,,,,,,,,,,,,
"Ah I see my error. You're right, I didn't talk about solider lethality enough.",0,,,,,,,,,,,,,,,
@JackMasseyWelsh when will u be playing ROBLOX (COUGH MAKING KAZOO SIMULATOR COUGH) because I mean if u are... ;)) i can get u all the stuff u need ;),0,,,,,,,,,,,,,,,
lol dumbass rly think I’m gonna pollute my brain w ur radio showhttps://twitter.com/prageru/status/1255296547421589506 …,0,,,,,,,,,,,,,,,
Everybody gangsta till someone coughs in the paper bag,0,,,,,,,,,,,,,,,
"I’ve a confession.. I’ve ordered some clothes, a pedometer, some make up and a fancy vase thing since my last cough up!",0,,,,,,,,,,,,,,,
*cough cough* WHAT!?,0,,,,,,,,,,,,,,,
"Oh to have been a fly on the wall of that visit... Screw that, I'd be a human & cough up a lung right there in front of him, lets see his payer circle clear that one up",1,,,,,,,,,,,,,,,
"Calamansi/Calamondin/Citrofortunella Microcarpa is a fruit native to Southeast Asia. It is used to make calamansi juice, which is an effective remedy for coughs and colds. You can also use it in dipping sauces, or to make ice cream, sorbets, and jellies. http://www.yours-naturally.com pic.twitter.com/ENbMs58TuL",1,,,,,,,,,,,,,,,
Teacher accused of urging Covid infected people to cough on Trump resigns READ MORE: http://zpr.io/tdxsK,0,,,,,,,,,,,,,,,
Teacher accused of urging Covid infected people to cough on Trump resigns READ MORE: https://newsthud.com/teacher-accused-of-urging-covid-infected-people-to-cough-on-trump-resigns/ …,0,,,,,,,,,,,,,,,
Or she got the commie cough...,0,,,,,,,,,,,,,,,
every time she cough i flinch..,0,,,,,,,,,,,,,,,
is it normal to cough for an hour and then not be able to feel my teeth,4,,,,,,,,,,,,,,,
"my bullshit did nothing lmao ""it's important to know for mission planning if you can measure known air pollution and use that to predict acute health risks for soldiers because then uh they might have asthma attacks and you just gotta know that sorta thing for mission ops""",2,,,,,,,,,,,,,,,
My friend lives in Oakland he says there’s some Zoes out there. the restaurant he’s been to (I think the only one in his area) is ugh *cough cough* if u do go hopefully u get to at least be near a Caribbean population,0,,,,,,,,,,,,,,,
Tf is a smokers cough it should go minutes after the last inhale. Stop using chip.,2,,,,,,,,,,,,,,,
"Cough... He'd oblige, but ain't she a lil' young to be comin' off on a man like himself-?",0,,,,,,,,,,,,,,,
*cough* thork *cough*,0,,,,,,,,,,,,,,,
"@tedlieu ignoring science? Little Ted your voters might be ignorant but facts are, your district has a low vaccination rate. Measles and whooping cough has come back in Full force in your district. So Why don’t you preach SCIENCE with your voters. What ",0,,,,,,,,,,,,,,,
cough on her she wont mind,1,,,,,,,,,,,,,,,
When a pregnant lady coughs does the baby cough too? - lil’ sis ‘20,0,,,,,,,,,,,,,,,
If a Asian muahfucka cough on me I put it on the lin kuei & the shirai ryu that yo ass gone die.,0,,,,,,,,,,,,,,,
"Yep, unless it’s an N95 or N100 NIOSH-certified particulate filter mas or respirator cartridge. Only those will protect you against inhaling infected droplets from someone else’s sneeze/cough. Fabric masks are to keep YOU from spewing droplets far and wide if you sneeze or cough.",1,,,,,,,,,,,,,,,
Are you visiting Mayo Clinic? Getting a test all the time? Do you do ANYTHING or look up ANY facts? Why don't you concentrate on whooping cough and the rest of the diseases that have come back in your district instead of this! WE are not paying for your failures! Got it? @DNC,0,,,,,,,,,,,,,,,
"""This is China's wet dream"" *wet cough* First round of homemade bleach is on me fellas.",0,,,,,,,,,,,,,,,
The house is smoky because I burned some chicken. I’m gonna throw some weed some in there too just for a little dazzle dazzle in my cough,0,,,,,,,,,,,,,,,
#Tucker I’ve been a known germaphobe for yrs. I VOLUNTARILY cover my face when I hear coughs and stuff. It’s a reflex reaction I VOLUNTARILY wash my hands before touching my face or food. I don’t take well to being ordered to wear a freaky mask.,2,,,,,,,,,,,,,,,
Sad my walking partner is busy *cough* @lizzuhhhbethh *cough*,0,,,,,,,,,,,,,,,
Somebody cough in this woman's face. https://twitter.com/ScottImmordino/status/1255231572233551872 …,0,,,,,,,,,,,,,,,
"Steam vaporizers are the worse thing for asthmatics. Vick’s vapor rub, too. Were you prescribed cough suppressants?",0,,,,,,,,,,,,,,,
"Remember, WVa was the “last state” to “get” c0vid, none of us believe that We haven’t even reached our “peak” yet, gov is already prepared to open. He promised to “follow the scientists“ is he? Still only testing ppl for severe symptoms fever, cough. Not all HCW yet either. https://twitter.com/rootb3er/status/1255297284583063552 …pic.twitter.com/0H3FHKx8Wh",0,,,,,,,,,,,,,,,
Fireball whiskey is the new Buckley's cough medicine ... sorry I don't make the rules.,0,,,,,,,,,,,,,,,
istg if i see one more video of these juniors thanking the frontliners i am going to cough on their mom,0,,,,,,,,,,,,,,,
Someone just joined my Modelhub Fan Club. See what you're missing: https://www.modelhub.com/NenetlAvril?becomeafan=1 …,0,,,,,,,,,,,,,,,
The people I talk to are all crackheads..... *cough* my sister @koobearbaby,0,,,,,,,,,,,,,,,
cough cough pic.twitter.com/T8gywPNPnT,0,,,,,,,,,,,,,,,
"LITERALLY. And I can definitely see “no, you’re not going to Johns house. His brother had a cough today.” “No i don’t care if it’s just a cough you can’t see him for two weeks”",0,,,,,,,,,,,,,,,
"My Modelhub Fan Club just got a new member. If you want exclusive content, too, sign up now: https://www.modelhub.com/NenetlAvril?becomeafan=1 …",0,,,,,,,,,,,,,,,
Rhode Island School Teacher Resigns After Viral TGP Report About Her Offering to Pay Someone With Coronavirus to Cough on Trump https://www.thegatewaypundit.com/2020/04/rhode-island-school-teacher-resigns-viral-tgp-report-offering-pay-someone-coronavirus-cough-president-trump/ …,0,,,,,,,,,,,,,,,
Buttchugging over the counter cough syrup,1,,,,,,,,,,,,,,,
"front of the face mask, and always remove the mask from both ears at once. You are advised to practice physical/social distancing of at least 2m (or 6ft) apart from each other, and practice proper respiratory hygiene (cough or sneeze into your elbow, use a tissue if you must and",1,,,,,,,,,,,,,,,
"I'm #StillWithHer in the hopes that I can cough in her stupid asshole face and give her Covid 19 - corrupt, selfish, inept beneficiary of nepotism, never in a million years would even be in public life had it not been for the considerable talents of her scumbag husband, ass bitch",1,,,,,,,,,,,,,,,
Cough cough as if jisung isn’t ur bias pic.twitter.com/12vSVnqkt9,0,,,,,,,,,,,,,,,
It's a toss up... is hoping to get COVID-19 and be sent home or is he hoping to get it and cough all over Trump,0,,,,,,,,,,,,,,,
well guys i think im going to take some cough meds and relax ill see how im feeling tomorrow,4,,,,,,,,,,,,,,,
"So is covering your mouth when you cough, what’s your point. You can choose to do the right thing.",0,,,,,,,,,,,,,,,
"Did he cough on them, too?",1,,,,,,,,,,,,,,,
"#COVID19 Patient *cough, cough* MP: take a deep breath, inhale, gotta bring this back to papa pic.twitter.com/ouqV1uMWK8",0,,,,,,,,,,,,,,,
"Day 2 of legally mandated isolation (yes, we are legally required to isolate). P is “soooo bored.” Me, I am sick with a fast moving something. Came full on over the day. Very Sore throat, cough, fever, bone crushing fatigue. We will be tested and are waiting for an appointment",4,,,,,,,,,,,,,,,
people say to try this but all i ever cough out is sand,4,,,,,,,,,,,,,,,
He has been tested and does not have it. Masks only prevent you from infecting others when you are shedding virus in your coughs or sneezes. My god you people are stupid.,1,,,,,,,,,,,,,,,
*cough*,0,,,,,,,,,,,,,,,
*cough*,0,,,,,,,,,,,,,,,
A cough in here would be like a fart in an exam hall https://twitter.com/erinstrine/status/1254091382890913803 …,0,,,,,,,,,,,,,,,
"In case your partner coughs, right?",0,,,,,,,,,,,,,,,
cool how a stupid beef between CEOs determines what movies we can and can't seehttps://www.hollywoodreporter.com/news/amc-theatres-refuses-play-universal-films-wake-trolls-world-tour-1292327?utm_medium=social&utm_source=twitter …,0,,,,,,,,,,,,,,,
@TuckerCarlson Yeah there are a lot of whooping cough cases in kids in Ted Liu’s district but they are all vaccinated. Check the numbers. CA is mandatory vaccine state. You are right Liu is full of shit but horrible example. Distrust the narrative on ev,0,,,,,,,,,,,,,,,
*cough* animal crossing is overrated *cough*,0,,,,,,,,,,,,,,,
He hasn’t been with the team since 2017 (Before MLF or Gutekunst) yet apparently knows what MLF and Gutekunst are going to do with Rodgers already. Also doesn’t have the most reliable sources *cough Barry cough*,0,,,,,,,,,,,,,,,
"Only if he coughs and/or sneezes. Otherwise, the mask would not necessarily protect him from others. At all.",0,,,,,,,,,,,,,,,
"I would have paid anyone in that clinic at Mayo $10,000 cash money to cough.",0,,,,,,,,,,,,,,,
cough,0,,,,,,,,,,,,,,,
"Wiping the sweat off his bloated face Mr Han coughs nervously, looking out the window. 'There's n-no real evidence against me. They were obviously lying!' That's when a tall alpha sitting next to Jimin joins in, throwing another file on the table.",,,,,,,,,,,,,,,,
Everybody out there is stocking up on toilet paper when you need to be stocking up on cough medicine #PoliticalQuarantine,1,,,,,,,,,,,,,,,
"i don’t think it’s actually corona i tend to have fits of having a really dry horrible cough, it’s most likely nothing",4,,,,,,,,,,,,,,,
Bongino is a Bitch. I’ll pay some be to dough on Trump if they have Covid. I’ll pay someone to cough on bing bong bang also. @dbongino has always been a lying bitchhttps://twitter.com/dbongino/status/1255206556553150465 …,0,,,,,,,,,,,,,,,
may the coughs be plentiful when he's around mr president https://twitter.com/NBCNews/status/1255219612473589761 …,0,,,,,,,,,,,,,,,
"I would say I have a fever and cough, do you want me to come in?",4,,,,,,,,,,,,,,,
SOMEONE COUGH IN HIS MOUTH. https://twitter.com/NBCNews/status/1255219612473589761 …,1,,,,,,,,,,,,,,,
i’ve developed a dry chesty cough so if i die you know why,4,,,,,,,,,,,,,,,
<cough> pic.twitter.com/ztaVcVBHWH,0,,,,,,,,,,,,,,,
"That I'm completely unsurprised of. The Post story was talking about them trying to cough 'at' them on purpose. That was what I was referring to. I expect them to be reckless, and that needs to be addressed immediately. It can not go on for an hour more.",1,,,,,,,,,,,,,,,
"You go out then old man... go mingle... find a crowd, shake ungloved hands, have someone cough right next to you, go to a bar or restaurant,go on the subway, stay in a hotel, use a rest stop or gas station bathroom..and do all of it with no mask, no gloves. I triple dog dare you.",1,,,,,,,,,,,,,,,
"Jack and Diane but robots were *cough* the new Gorillaz album, finally, and I fart for the homunculus who works at the donut shop next door.",0,,,,,,,,,,,,,,,
*cough* http://UnicodeIt.net *cough* Global polarization of Λ and Λ̅ hyperons in Pb-Pb collisions at the LHC https://www.unicodeit.net/?Global%20polarization%20of%20%5CLambda%20and%20%5Coverline%7B%5CLambda%7D%20hyperons%20in%20Pb-Pb%20collisions%20at%20the%20LHC …https://twitter.com/hepdata/status/1255102546827448321 …,0,,,,,,,,,,,,,,,
"His kink is getting shot and bit by frustratingly attractive, ginger generals with daddy issues. ...Cough.",0,,,,,,,,,,,,,,,
What if they’re being stupid right next you and cough in tour face?,0,,,,,,,,,,,,,,,
That epic moment when you decide to make a VN just to gain experience in the world of coding. But then the person who agreed to help (*cough cough* Garfunkel) abandons you like your squad in fortnite Now this is epic,0,,,,,,,,,,,,,,,
Maybe he'll go and cough on DJT. pic.twitter.com/0tRe2yEW1s,0,,,,,,,,,,,,,,,
aaaaand here comes the dry cough. Crying a bunch but I can get through tomorrow at noon and then just go tf to sleep!!,4,,,,,,,,,,,,,,,
Can’t wait to get my stimulus check and buy a new amp I mean pay my rent for the next two months *cough *cough,0,,,,,,,,,,,,,,,
"4/ Most people in study were on young-ish side. Median age:37 Hospitalization rate: 5.3% - no deaths Loss of sense of taste & smell were most predictive of positive antibody test - even more than cough! (84.7% and 88.1%, respectively). pic.twitter.com/IWPRYaL510",1,,,,,,,,,,,,,,,
"Caption: “Fuck you, Lauren”",0,,,,,,,,,,,,,,,
Exactly cause I got bad allergies as well I’ve got the same problem!! Don’t cough LOL,4,,,,,,,,,,,,,,,
I may or may not have Covid. Would you like to stand next to me? I won’t be wearing a mask and I may cough. Or sneeze. Or breathe. Lady you lost this argument.,4,,,,,,,,,,,,,,,
necklace with his name *cough cough* https://twitter.com/lifeofboujiana/status/1255287677710217218 …,0,,,,,,,,,,,,,,,
"Ugh Girl trust me I feel you my family literally used to hear me cough all the time from nausea and I would almost puke, it’s so exhausting that you just WANT TO puke cause nausea is the worst so I understand stomach sensitivity",4,,,,,,,,,,,,,,,
Idk ima be able to shake back every time someone cough I’m looking like pic.twitter.com/v7bHhIwjRz,4,,,,,,,,,,,,,,,
i have a dry chesty cough uh oh,4,,,,,,,,,,,,,,,
*cough* death stranding,2,,,,,,,,,,,,,,,
